name,number,id,path,description,aliases,courseQuality,professorQuality,difficulty,amountLearned,workRequired,RecommendToMajor,RecommendToNonMajor,numberReviewers
HEAT/MASS TRANSFER,null,43099,/courses/43099,This course covers fundamentals of heat and mass transfer and applications to practical problems in energy conversion and conservation. Emphasis will be on developing a physical and analytical understanding of conductive convective and radiative heat transfer as well as design of heat exchangers and heat transfer with phase change. Topics covered will include: types of heat transfer processes their relative importance and the interactions between them solutions of steady state and transient state conduction emission and absorption of radiation by real surfaces and radiative transfer between surfaces heat transfer by forced and natural convection owing to flow around bodies and through ducts analytical solutions for some sample cases and applications of correlations for engineering problems. Students will develop an ability to apply governing principles and physical intuition to solve problems.,[MEAM-333],2.58,2.91,2.72,2.78,2.59,1.15,3.09,72
ADVANCED EARTH SYSTEMS,null,37252,/courses/37252,An examination of Earth's physical system--from core to atmosphere--from a broad interlocking high-level perspective emphasizing fundamental patterns and processes and de-emphasizing classification and terminology. The course will also touch on some of the interactions between physical and biological systems.,[GEOL-500],3.33,3.67,1.5,-1.0,1.0,-1.0,-1.0,3
MAJOR SEMINAR ON KOREA: Korea in the Age of Empires 1864-1945,null,42620,/courses/42620,This is a seminar required for all Korean majors in the Department of East Asian Languages and Civilization. Topic varies year to year.,[EALC-303],3.75,3.75,3.0,-1.0,3.0,-1.0,-1.0,4
NEUROETHOLOGY,null,38197,/courses/38197,In course students will learn how neurobiologists study the relationship between neural circuitry and behavior. Behaviors such as bat echolocation birdsong insect olfaction spatial navigation eye movement and others will be used to explore fundamental principles of brain function that include brain oscillations population codes efference copy sensorimotor maps and sleep replay. The course will also discuss the various methodologies that are used to address these questions. The reading material will be derived mostly from the primary literature.,[BIBB-233],2.21,2.36,2.91,-1.0,2.48,-1.0,-1.0,41
ICONS IN PERFORMANCE: ACTORS AND OTHERS WHO DEFINE AND SAHPE THE ARTS,null,45002,/courses/45002,This course will combine an intensive practical and intellectual investigation of some area of the making of theatre: performance techniques theatrical styles a particular period of theatre history. Please visit the Theatre Arts Program website for current topics for Thar 275 and other Theatre Arts Courses and special topics: https://theatre.sas.upenn.edu,[THAR-275 -- CIMS-225 -- ENGL-276],3.11,3.44,1.88,-1.0,2.13,-1.0,-1.0,18
PROG LANG & TECH III,null,35524,/courses/35524,Advanced object-oriented programming for Linux and Windows web servers taught hands-on in a lab. Java and/or C# topics may include serialization synchronization reflection advanced I/O servlets and generic handlers dependency injection protecting against SQL injection XML Javascript SOAP and REST web services database access for web pages and others. Substantial programming assignments. May be taken by MCIT and CIS graduate students.,[CIT-597],2.89,2.91,2.47,2.86,2.45,2.61,2.82,55
TOPICS IN ETHICS: ENVIRONMENTAL ETHICS,null,37741,/courses/37741,This course examines some of the central theoretical and applied questions of ethics. For example what is the good life? By what measure or principles do we evaluate the rightness and wrongness of actions? How does ethical reasoning help us understand and address real world problems such as world hunger social injustice sex and race discrimination allocation of scare resources and the like. The course can be organized around an applied topic or practical issue such as global ethics just war biomedical ethics or environmental ethics.,[PHIL-073 -- ENVS-073 -- PPE-073],2.58,3.0,2.33,-1.0,2.0,-1.0,-1.0,12
INTRO TO NETWRKS & SEC,null,38318,/courses/38318,This course introduces principles and practices of computer and network security. We will cover basic concepts threat models and the security mindset; an introduction to cryptography and cryptographic protocols including encryption authentication message authentication codes hash functions public-key cryptography and secure channels; an introduction to networks and network security including IP TCP routing network protocols web architecture attacks firewalls and intrusion detection system an introduction to software security including defensive programming memory protection buffer overflows and malware; and discuss broader issues and case studies such as privacy security and the law digital rights management denial of service and ethics.,[CIS-331],2.71,2.66,2.79,2.93,2.74,1.84,3.05,84
INNOVATION,null,45270,/courses/45270,The course is first and foremost an intensive integrative project course in which student teams create one or more real businesses. Some businesses spun out of the course and now managed by alumni include Terrapass Inc. and Smatchy Inc. The project experience is and exciting context in which to learn key tools and fundamentals useful in innovation problem solving and design. Examples of these tools and fundamentals are: problem definition identification of opportunities generating alternatives selecting among alternatives principles of data graphics and managing innovation pipelines. The course requires a commitment of at least 10 hours of work outside of class and comfort working on unstructured interdisciplinary problems. Students with a strong interest in innovation and entrepreneurship are particularly encouraged to enroll. Please read carefully the syllabus posted on-line before registering for this course.,[OIDD-614],3.38,3.62,1.77,3.23,2.42,2.45,2.77,13
LITERATURE OF SUCCESS,null,44416,/courses/44416,This course explores the history literature and philosophy of two age-old questions: what does it mean to be successful and how does one achieve this elusive goal? It surveys some of the classics of the success genre - from Benjamin Franklin's Autobiography in the 18th century to Dale Carnegie's How to Win Friends and Influence People and Marcus Buckingham's Now Discover Your Strengths in the 20th and 21st centuries. Case studies of remarkable achievements in business and society and Arthur Miller's play Death of a Salesman provide additional contexts within which to reflect on the questions at the center of the course. Students will keep a personal journal and use web-based tools to examine their own character strengths talents and achievement orientations. Grading is based on class attendance and participation reading response papers personal journals on assigned topics involving self reflection a mid-term paper on an assigned research subject related to success and a final longer paper exploring based on course readings and original research each students personal philosophy of success. No final exam.,[LGST-227],3.48,3.77,2.46,3.54,2.93,3.61,3.64,33
